pollster,sample_size,numeric_grade,pollscore,state,transparency_score,end_date,party,answer,pct
Virginia Commonwealth U.,832,2.1,-0.1,Virginia,9,2024-09-25,REP,Trump,37
Virginia Commonwealth U.,832,2.1,-0.1,Virginia,9,2024-09-25,IND,West,3
Virginia Commonwealth U.,832,2.1,-0.1,Virginia,9,2024-09-25,GRE,Stein,1
Virginia Commonwealth U.,762,2.1,-0.1,Virginia,9,2024-09-25,DEM,Harris,47.4
Virginia Commonwealth U.,762,2.1,-0.1,Virginia,9,2024-09-25,REP,Trump,36.6
Virginia Commonwealth U.,762,2.1,-0.1,Virginia,9,2024-09-25,IND,West,1.8
Virginia Commonwealth U.,762,2.1,-0.1,Virginia,9,2024-09-25,GRE,Stein,0.8
USC Dornsife/CSU Long Beach/Cal Poly Pomona,1685,NA,NA,California,5,2024-09-25,DEM,Harris,57.7
USC Dornsife/CSU Long Beach/Cal Poly Pomona,1685,NA,NA,California,5,2024-09-25,REP,Trump,35.5
USC Dornsife/CSU Long Beach/Cal Poly Pomona,1685,NA,NA,California,5,2024-09-25,IND,Kennedy,1.7
USC Dornsife/CSU Long Beach/Cal Poly Pomona,1685,NA,NA,California,5,2024-09-25,LIB,Oliver,0
USC Dornsife/CSU Long Beach/Cal Poly Pomona,1685,NA,NA,California,5,2024-09-25,GRE,Stein,1.5
USC Dornsife/CSU Long Beach/Cal Poly Pomona,1685,NA,NA,California,5,2024-09-25,PSL,De la Cruz,0
ActiVote,400,NA,NA,Pennsylvania,8,2024-09-25,DEM,Harris,51.6
ActiVote,400,NA,NA,Pennsylvania,8,2024-09-25,REP,Trump,48.4
Emerson,950,2.9,-1.1,Texas,7,2024-09-24,DEM,Harris,46.7
Emerson,950,2.9,-1.1,Texas,7,2024-09-24,REP,Trump,52.3
Emerson,860,2.9,-1.1,Virginia,7,2024-09-24,DEM,Harris,52.7
Emerson,860,2.9,-1.1,Virginia,7,2024-09-24,REP,Trump,46.2
Morning Consult,11167,1.9,-0.3,National,3,2024-09-24,DEM,Harris,51
Morning Consult,11167,1.9,-0.3,National,3,2024-09-24,REP,Trump,45
YouGov,1424,3,-1.1,National,9,2024-09-24,DEM,Harris,47
YouGov,1424,3,-1.1,National,9,2024-09-24,REP,Trump,44
YouGov,1424,3,-1.1,National,9,2024-09-24,GRE,Stein,1
YouGov,1424,3,-1.1,National,9,2024-09-24,IND,West,0
YouGov,1220,3,-1.1,National,9,2024-09-24,DEM,Harris,49
YouGov,1220,3,-1.1,National,9,2024-09-24,REP,Trump,46
YouGov,1220,3,-1.1,National,9,2024-09-24,GRE,Stein,1
YouGov,1220,3,-1.1,National,9,2024-09-24,IND,West,0
YouGov,1441,3,-1.1,Georgia,9,2024-09-24,DEM,Harris,49
YouGov,1441,3,-1.1,Georgia,9,2024-09-24,REP,Trump,51
Beacon/Shaw,1021,2.8,-1.1,Arizona,9,2024-09-24,DEM,Harris,47
Beacon/Shaw,1021,2.8,-1.1,Arizona,9,2024-09-24,REP,Trump,49
Beacon/Shaw,1021,2.8,-1.1,Arizona,9,2024-09-24,LIB,Oliver,2
Beacon/Shaw,1021,2.8,-1.1,Arizona,9,2024-09-24,GRE,Stein,1
Beacon/Shaw,1021,2.8,-1.1,Arizona,9,2024-09-24,IND,West,1
Beacon/Shaw,764,2.8,-1.1,Arizona,9,2024-09-24,DEM,Harris,47
Beacon/Shaw,764,2.8,-1.1,Arizona,9,2024-09-24,REP,Trump,50
Beacon/Shaw,764,2.8,-1.1,Arizona,9,2024-09-24,LIB,Oliver,2
Beacon/Shaw,764,2.8,-1.1,Arizona,9,2024-09-24,GRE,Stein,1
Beacon/Shaw,764,2.8,-1.1,Arizona,9,2024-09-24,IND,West,0
Beacon/Shaw,1021,2.8,-1.1,Arizona,9,2024-09-24,DEM,Harris,48
Beacon/Shaw,1021,2.8,-1.1,Arizona,9,2024-09-24,REP,Trump,50
Beacon/Shaw,764,2.8,-1.1,Arizona,9,2024-09-24,DEM,Harris,48
Beacon/Shaw,764,2.8,-1.1,Arizona,9,2024-09-24,REP,Trump,51
Beacon/Shaw,1006,2.8,-1.1,Georgia,9,2024-09-24,DEM,Harris,49
Beacon/Shaw,1006,2.8,-1.1,Georgia,9,2024-09-24,REP,Trump,47
Beacon/Shaw,1006,2.8,-1.1,Georgia,9,2024-09-24,IND,West,1
Beacon/Shaw,1006,2.8,-1.1,Georgia,9,2024-09-24,GRE,Stein,1
Beacon/Shaw,1006,2.8,-1.1,Georgia,9,2024-09-24,LIB,Oliver,1
Beacon/Shaw,707,2.8,-1.1,Georgia,9,2024-09-24,DEM,Harris,50
Beacon/Shaw,707,2.8,-1.1,Georgia,9,2024-09-24,REP,Trump,48
Beacon/Shaw,707,2.8,-1.1,Georgia,9,2024-09-24,IND,West,1
Beacon/Shaw,707,2.8,-1.1,Georgia,9,2024-09-24,GRE,Stein,1
Beacon/Shaw,707,2.8,-1.1,Georgia,9,2024-09-24,LIB,Oliver,1
Beacon/Shaw,1006,2.8,-1.1,Georgia,9,2024-09-24,DEM,Harris,51
Beacon/Shaw,1006,2.8,-1.1,Georgia,9,2024-09-24,REP,Trump,48
Beacon/Shaw,707,2.8,-1.1,Georgia,9,2024-09-24,DEM,Harris,51
Beacon/Shaw,707,2.8,-1.1,Georgia,9,2024-09-24,REP,Trump,48
Beacon/Shaw,787,2.8,-1.1,North Carolina,9,2024-09-24,DEM,Harris,47
Beacon/Shaw,787,2.8,-1.1,North Carolina,9,2024-09-24,REP,Trump,49
Beacon/Shaw,787,2.8,-1.1,North Carolina,9,2024-09-24,IND,West,1
Beacon/Shaw,787,2.8,-1.1,North Carolina,9,2024-09-24,GRE,Stein,1
Beacon/Shaw,787,2.8,-1.1,North Carolina,9,2024-09-24,LIB,Oliver,1
Beacon/Shaw,991,2.8,-1.1,North Carolina,9,2024-09-24,DEM,Harris,48
Beacon/Shaw,991,2.8,-1.1,North Carolina,9,2024-09-24,REP,Trump,47
Beacon/Shaw,991,2.8,-1.1,North Carolina,9,2024-09-24,IND,West,1
Beacon/Shaw,991,2.8,-1.1,North Carolina,9,2024-09-24,GRE,Stein,1
Beacon/Shaw,991,2.8,-1.1,North Carolina,9,2024-09-24,LIB,Oliver,1
Beacon/Shaw,787,2.8,-1.1,North Carolina,9,2024-09-24,DEM,Harris,49
Beacon/Shaw,787,2.8,-1.1,North Carolina,9,2024-09-24,REP,Trump,50
Beacon/Shaw,991,2.8,-1.1,North Carolina,9,2024-09-24,DEM,Harris,50
Beacon/Shaw,991,2.8,-1.1,North Carolina,9,2024-09-24,REP,Trump,48
Beacon/Shaw,775,2.8,-1.1,Pennsylvania,9,2024-09-24,DEM,Harris,47
Beacon/Shaw,775,2.8,-1.1,Pennsylvania,9,2024-09-24,REP,Trump,48
Beacon/Shaw,775,2.8,-1.1,Pennsylvania,9,2024-09-24,GRE,Stein,2
Beacon/Shaw,775,2.8,-1.1,Pennsylvania,9,2024-09-24,LIB,Oliver,2
Beacon/Shaw,1021,2.8,-1.1,Pennsylvania,9,2024-09-24,DEM,Harris,48
Beacon/Shaw,1021,2.8,-1.1,Pennsylvania,9,2024-09-24,REP,Trump,46
Beacon/Shaw,1021,2.8,-1.1,Pennsylvania,9,2024-09-24,GRE,Stein,1
Beacon/Shaw,1021,2.8,-1.1,Pennsylvania,9,2024-09-24,LIB,Oliver,2
Beacon/Shaw,775,2.8,-1.1,Pennsylvania,9,2024-09-24,DEM,Harris,49
Beacon/Shaw,775,2.8,-1.1,Pennsylvania,9,2024-09-24,REP,Trump,49
Beacon/Shaw,1021,2.8,-1.1,Pennsylvania,9,2024-09-24,DEM,Harris,50
Beacon/Shaw,1021,2.8,-1.1,Pennsylvania,9,2024-09-24,REP,Trump,48
Marist,1416,2.9,-0.9,Arizona,9,2024-09-24,DEM,Harris,48
Marist,1416,2.9,-0.9,Arizona,9,2024-09-24,REP,Trump,50
Marist,1264,2.9,-0.9,Arizona,9,2024-09-24,DEM,Harris,49
Marist,1264,2.9,-0.9,Arizona,9,2024-09-24,REP,Trump,50
Marist,1507,2.9,-0.9,North Carolina,9,2024-09-24,DEM,Harris,49
Marist,1507,2.9,-0.9,North Carolina,9,2024-09-24,REP,Trump,48
Marist,1348,2.9,-0.9,North Carolina,9,2024-09-24,DEM,Harris,49
Marist,1348,2.9,-0.9,North Carolina,9,2024-09-24,REP,Trump,49
Marist,1420,2.9,-0.9,Georgia,9,2024-09-24,DEM,Harris,49
Marist,1420,2.9,-0.9,Georgia,9,2024-09-24,REP,Trump,48
Marist,1220,2.9,-0.9,Georgia,9,2024-09-24,DEM,Harris,49
Marist,1220,2.9,-0.9,Georgia,9,2024-09-24,REP,Trump,50
Suffolk,500,2.9,-1,Arizona,8,2024-09-24,DEM,Harris,42.4
Suffolk,500,2.9,-1,Arizona,8,2024-09-24,REP,Trump,48.4
Suffolk,500,2.9,-1,Arizona,8,2024-09-24,GRE,Stein,1.2
Suffolk,500,2.9,-1,Arizona,8,2024-09-24,LIB,Oliver,1
Clarity,1000,1.6,-0.2,National,1,2024-09-24,DEM,Harris,51
Clarity,1000,1.6,-0.2,National,1,2024-09-24,REP,Trump,44
Clarity,1000,1.6,-0.2,National,1,2024-09-24,DEM,Harris,58
Clarity,1000,1.6,-0.2,National,1,2024-09-24,REP,Vance,37
ActiVote,1000,NA,NA,National,8,2024-09-24,DEM,Harris,51.4
ActiVote,1000,NA,NA,National,8,2024-09-24,REP,Trump,48.6
Fabrizio/Impact,600,1.7,-0.3,Pennsylvania,2,2024-09-24,DEM,Harris,49
Fabrizio/Impact,600,1.7,-0.3,Pennsylvania,2,2024-09-24,REP,Trump,47
Fabrizio/Impact,600,1.7,-0.3,Pennsylvania,2,2024-09-24,GRE,Stein,1
Fabrizio/Impact,600,1.7,-0.3,Pennsylvania,2,2024-09-24,LIB,Oliver,0
Fabrizio/Impact,600,1.7,-0.3,Pennsylvania,2,2024-09-24,DEM,Harris,50
Fabrizio/Impact,600,1.7,-0.3,Pennsylvania,2,2024-09-24,REP,Trump,47
ActiVote,400,NA,NA,Texas,8,2024-09-24,DEM,Harris,45.7
ActiVote,400,NA,NA,Texas,8,2024-09-24,REP,Trump,54.3
Morning Consult,11157,1.9,-0.3,National,3,2024-09-23,DEM,Harris,51
Morning Consult,11157,1.9,-0.3,National,3,2024-09-23,REP,Trump,45
Bullfinch,600,NA,NA,Florida,4,2024-09-23,DEM,Harris,47
Bullfinch,600,NA,NA,Florida,4,2024-09-23,REP,Trump,48
Bullfinch,600,NA,NA,Georgia,4,2024-09-23,DEM,Harris,49
Bullfinch,600,NA,NA,Georgia,4,2024-09-23,REP,Trump,47
Bullfinch,600,NA,NA,North Carolina,4,2024-09-23,DEM,Harris,49
Bullfinch,600,NA,NA,North Carolina,4,2024-09-23,REP,Trump,48
SurveyUSA,558,2.8,-1.3,Nebraska,8,2024-09-23,DEM,Harris,40
SurveyUSA,558,2.8,-1.3,Nebraska,8,2024-09-23,REP,Trump,56
University of Maryland/Washington Post,1012,2.5,-0.3,Maryland,8,2024-09-23,DEM,Harris,63
University of Maryland/Washington Post,1012,2.5,-0.3,Maryland,8,2024-09-23,REP,Trump,31
University of Maryland/Washington Post,1012,2.5,-0.3,Maryland,8,2024-09-23,GRE,Stein,1
University of Maryland/Washington Post,1012,2.5,-0.3,Maryland,8,2024-09-23,LIB,Oliver,1
University of Maryland/Washington Post,1012,2.5,-0.3,Maryland,8,2024-09-23,DEM,Harris,64
University of Maryland/Washington Post,1012,2.5,-0.3,Maryland,8,2024-09-23,REP,Trump,32
University of Maryland/Washington Post,1012,2.5,-0.3,Maryland,8,2024-09-23,DEM,Harris,61
University of Maryland/Washington Post,1012,2.5,-0.3,Maryland,8,2024-09-23,REP,Trump,31
University of Maryland/Washington Post,1012,2.5,-0.3,Maryland,8,2024-09-23,GRE,Stein,1
University of Maryland/Washington Post,1012,2.5,-0.3,Maryland,8,2024-09-23,LIB,Oliver,1
University of Maryland/Washington Post,1012,2.5,-0.3,Maryland,8,2024-09-23,DEM,Harris,62
University of Maryland/Washington Post,1012,2.5,-0.3,Maryland,8,2024-09-23,REP,Trump,32
RMG Research,788,2.3,-0.4,Wisconsin,5,2024-09-23,DEM,Harris,50
RMG Research,788,2.3,-0.4,Wisconsin,5,2024-09-23,REP,Trump,49
Morning Consult,11057,1.9,-0.3,National,3,2024-09-22,DEM,Harris,50
Morning Consult,11057,1.9,-0.3,National,3,2024-09-22,REP,Trump,45
Ipsos,871,2.8,-0.9,National,9.5,2024-09-22,DEM,Harris,46.61
Ipsos,871,2.8,-0.9,National,9.5,2024-09-22,REP,Trump,40.48
Ipsos,785,2.8,-0.9,National,9.5,2024-09-22,DEM,Harris,50
Ipsos,785,2.8,-0.9,National,9.5,2024-09-22,REP,Trump,44
Ipsos,1029,2.8,-0.9,National,9.5,2024-09-22,DEM,Harris,42
Ipsos,1029,2.8,-0.9,National,9.5,2024-09-22,REP,Trump,38
CNN/SSRS,2074,2.8,-0.6,National,10,2024-09-22,DEM,Harris,48
CNN/SSRS,2074,2.8,-0.6,National,10,2024-09-22,REP,Trump,47
CNN/SSRS,2074,2.8,-0.6,National,10,2024-09-22,GRE,Stein,1
CNN/SSRS,2074,2.8,-0.6,National,10,2024-09-22,LIB,Oliver,2
CNN/SSRS,2074,2.8,-0.6,National,10,2024-09-22,DEM,Harris,47
CNN/SSRS,2074,2.8,-0.6,National,10,2024-09-22,REP,Trump,47
CNN/SSRS,2074,2.8,-0.6,National,10,2024-09-22,GRE,Stein,1
CNN/SSRS,2074,2.8,-0.6,National,10,2024-09-22,LIB,Oliver,2
Quinnipiac,1728,2.8,-0.5,National,9,2024-09-22,DEM,Harris,47
Quinnipiac,1728,2.8,-0.5,National,9,2024-09-22,REP,Trump,48
Quinnipiac,1728,2.8,-0.5,National,9,2024-09-22,GRE,Stein,1
Quinnipiac,1728,2.8,-0.5,National,9,2024-09-22,LIB,Oliver,1
Quinnipiac,1728,2.8,-0.5,National,9,2024-09-22,DEM,Harris,48
Quinnipiac,1728,2.8,-0.5,National,9,2024-09-22,REP,Trump,48
Susquehanna,700,2.3,-0.3,Pennsylvania,5.5,2024-09-22,DEM,Harris,46
Susquehanna,700,2.3,-0.3,Pennsylvania,5.5,2024-09-22,REP,Trump,46
Slingshot Strategies,500,1.4,0.1,Delaware,3,2024-09-21,DEM,Harris,54
Slingshot Strategies,500,1.4,0.1,Delaware,3,2024-09-21,REP,Trump,37
Morning Consult,10840,1.9,-0.3,National,3,2024-09-21,DEM,Harris,50
Morning Consult,10840,1.9,-0.3,National,3,2024-09-21,REP,Trump,45
Siena/NYT,713,3,-1.5,Arizona,9,2024-09-21,DEM,Harris,45
Siena/NYT,713,3,-1.5,Arizona,9,2024-09-21,REP,Trump,49
Siena/NYT,713,3,-1.5,Arizona,9,2024-09-21,DEM,Harris,45
Siena/NYT,713,3,-1.5,Arizona,9,2024-09-21,REP,Trump,50
Siena/NYT,713,3,-1.5,Arizona,9,2024-09-21,DEM,Harris,42
Siena/NYT,713,3,-1.5,Arizona,9,2024-09-21,REP,Trump,47
Siena/NYT,713,3,-1.5,Arizona,9,2024-09-21,GRE,Stein,2
Siena/NYT,713,3,-1.5,Arizona,9,2024-09-21,LIB,Oliver,3
Siena/NYT,713,3,-1.5,Arizona,9,2024-09-21,DEM,Harris,43
Siena/NYT,713,3,-1.5,Arizona,9,2024-09-21,REP,Trump,48
Siena/NYT,713,3,-1.5,Arizona,9,2024-09-21,GRE,Stein,2
Siena/NYT,713,3,-1.5,Arizona,9,2024-09-21,LIB,Oliver,2
Siena/NYT,682,3,-1.5,Georgia,9,2024-09-21,DEM,Harris,44
Siena/NYT,682,3,-1.5,Georgia,9,2024-09-21,REP,Trump,48
Siena/NYT,682,3,-1.5,Georgia,9,2024-09-21,DEM,Harris,45
Siena/NYT,682,3,-1.5,Georgia,9,2024-09-21,REP,Trump,49
Siena/NYT,682,3,-1.5,Georgia,9,2024-09-21,DEM,Harris,43
Siena/NYT,682,3,-1.5,Georgia,9,2024-09-21,REP,Trump,46
Siena/NYT,682,3,-1.5,Georgia,9,2024-09-21,GRE,Stein,2
Siena/NYT,682,3,-1.5,Georgia,9,2024-09-21,LIB,Oliver,2
Siena/NYT,682,3,-1.5,Georgia,9,2024-09-21,DEM,Harris,44
Siena/NYT,682,3,-1.5,Georgia,9,2024-09-21,REP,Trump,47
Siena/NYT,682,3,-1.5,Georgia,9,2024-09-21,GRE,Stein,1
Siena/NYT,682,3,-1.5,Georgia,9,2024-09-21,LIB,Oliver,2
Siena/NYT,682,3,-1.5,North Carolina,9,2024-09-21,DEM,Harris,47
Siena/NYT,682,3,-1.5,North Carolina,9,2024-09-21,REP,Trump,48
Siena/NYT,682,3,-1.5,North Carolina,9,2024-09-21,DEM,Harris,47
Siena/NYT,682,3,-1.5,North Carolina,9,2024-09-21,REP,Trump,49
Siena/NYT,682,3,-1.5,North Carolina,9,2024-09-21,DEM,Harris,46
Siena/NYT,682,3,-1.5,North Carolina,9,2024-09-21,REP,Trump,46
Siena/NYT,682,3,-1.5,North Carolina,9,2024-09-21,GRE,Stein,0
Siena/NYT,682,3,-1.5,North Carolina,9,2024-09-21,LIB,Oliver,1
Siena/NYT,682,3,-1.5,North Carolina,9,2024-09-21,DEM,Harris,45
Siena/NYT,682,3,-1.5,North Carolina,9,2024-09-21,REP,Trump,47
Siena/NYT,682,3,-1.5,North Carolina,9,2024-09-21,GRE,Stein,0
Siena/NYT,682,3,-1.5,North Carolina,9,2024-09-21,LIB,Oliver,1
ActiVote,400,NA,NA,California,8,2024-09-21,DEM,Harris,64
ActiVote,400,NA,NA,California,8,2024-09-21,REP,Trump,36
YouGov,3129,3,-1.1,National,9,2024-09-20,DEM,Harris,52
YouGov,3129,3,-1.1,National,9,2024-09-20,REP,Trump,48
Morning Consult,10539,1.9,-0.3,National,3,2024-09-20,DEM,Harris,49
Morning Consult,10539,1.9,-0.3,National,3,2024-09-20,REP,Trump,46
RMG Research,781,2.3,-0.4,Ohio,5,2024-09-20,DEM,Harris,43
RMG Research,781,2.3,-0.4,Ohio,5,2024-09-20,REP,Trump,54
RMG Research,783,2.3,-0.4,Pennsylvania,5,2024-09-20,DEM,Harris,49
RMG Research,783,2.3,-0.4,Pennsylvania,5,2024-09-20,REP,Trump,49
Meredith College,802,1.6,0.3,North Carolina,8,2024-09-20,DEM,Harris,48
Meredith College,802,1.6,0.3,North Carolina,8,2024-09-20,REP,Trump,48
Meredith College,802,1.6,0.3,North Carolina,8,2024-09-20,CON,Terry,0
Meredith College,802,1.6,0.3,North Carolina,8,2024-09-20,GRE,Stein,1
Meredith College,802,1.6,0.3,North Carolina,8,2024-09-20,IND,West,0
Meredith College,802,1.6,0.3,North Carolina,8,2024-09-20,LIB,Oliver,1
Embold Research,876,1.4,0.6,Rhode Island,6,2024-09-20,DEM,Harris,52
Embold Research,876,1.4,0.6,Rhode Island,6,2024-09-20,REP,Trump,38
Remington,800,2.6,-0.6,Michigan,7,2024-09-20,DEM,Harris,49
Remington,800,2.6,-0.6,Michigan,7,2024-09-20,REP,Trump,47
Remington,800,2.6,-0.6,Michigan,7,2024-09-20,IND,West,0
Remington,800,2.6,-0.6,Michigan,7,2024-09-20,GRE,Stein,1
Remington,800,2.6,-0.6,Nevada,7,2024-09-20,DEM,Harris,48
Remington,800,2.6,-0.6,Nevada,7,2024-09-20,REP,Trump,49
Remington,800,2.6,-0.6,Pennsylvania,7,2024-09-20,DEM,Harris,47
Remington,800,2.6,-0.6,Pennsylvania,7,2024-09-20,REP,Trump,48
Remington,800,2.6,-0.6,Pennsylvania,7,2024-09-20,GRE,Stein,1
Remington,800,2.6,-0.6,Wisconsin,7,2024-09-20,DEM,Harris,48
Remington,800,2.6,-0.6,Wisconsin,7,2024-09-20,REP,Trump,48
Remington,800,2.6,-0.6,Wisconsin,7,2024-09-20,IND,West,1
Remington,800,2.6,-0.6,Wisconsin,7,2024-09-20,GRE,Stein,0
Remington,800,2.6,-0.6,Montana,7,2024-09-20,DEM,Harris,39
Remington,800,2.6,-0.6,Montana,7,2024-09-20,REP,Trump,56
Remington,800,2.6,-0.6,Montana,7,2024-09-20,GRE,Stein,2
Morning Consult,10528,1.9,-0.3,National,3,2024-09-19,DEM,Harris,50
Morning Consult,10528,1.9,-0.3,National,3,2024-09-19,REP,Trump,46
RMG Research,2969,2.3,-0.4,National,5,2024-09-19,DEM,Harris,50
RMG Research,2969,2.3,-0.4,National,5,2024-09-19,REP,Trump,48
Redfield & Wilton Strategies,789,1.8,0.4,Arizona,9,2024-09-19,DEM,Harris,47
Redfield & Wilton Strategies,789,1.8,0.4,Arizona,9,2024-09-19,REP,Trump,47
Redfield & Wilton Strategies,789,1.8,0.4,Arizona,9,2024-09-19,LIB,Oliver,1
Redfield & Wilton Strategies,789,1.8,0.4,Arizona,9,2024-09-19,GRE,Stein,1
Redfield & Wilton Strategies,1602,1.8,0.4,Florida,9,2024-09-19,DEM,Harris,45
Redfield & Wilton Strategies,1602,1.8,0.4,Florida,9,2024-09-19,REP,Trump,50
Redfield & Wilton Strategies,1602,1.8,0.4,Florida,9,2024-09-19,LIB,Oliver,1
Redfield & Wilton Strategies,1602,1.8,0.4,Florida,9,2024-09-19,GRE,Stein,0
Redfield & Wilton Strategies,993,1.8,0.4,Michigan,9,2024-09-19,DEM,Harris,46
Redfield & Wilton Strategies,993,1.8,0.4,Michigan,9,2024-09-19,REP,Trump,45
Redfield & Wilton Strategies,993,1.8,0.4,Michigan,9,2024-09-19,LIB,Oliver,1
Redfield & Wilton Strategies,993,1.8,0.4,Michigan,9,2024-09-19,GRE,Stein,0
Redfield & Wilton Strategies,703,1.8,0.4,Minnesota,9,2024-09-19,DEM,Harris,50
Redfield & Wilton Strategies,703,1.8,0.4,Minnesota,9,2024-09-19,REP,Trump,44
Redfield & Wilton Strategies,703,1.8,0.4,Minnesota,9,2024-09-19,LIB,Oliver,0
Redfield & Wilton Strategies,703,1.8,0.4,Minnesota,9,2024-09-19,GRE,Stein,1
Redfield & Wilton Strategies,652,1.8,0.4,Nevada,9,2024-09-19,DEM,Harris,45
Redfield & Wilton Strategies,652,1.8,0.4,Nevada,9,2024-09-19,REP,Trump,45
Redfield & Wilton Strategies,652,1.8,0.4,Nevada,9,2024-09-19,LIB,Oliver,1
Redfield & Wilton Strategies,652,1.8,0.4,Nevada,9,2024-09-19,GRE,Stein,0
Redfield & Wilton Strategies,1086,1.8,0.4,Pennsylvania,9,2024-09-19,DEM,Harris,47
Redfield & Wilton Strategies,1086,1.8,0.4,Pennsylvania,9,2024-09-19,REP,Trump,47
Redfield & Wilton Strategies,1086,1.8,0.4,Pennsylvania,9,2024-09-19,LIB,Oliver,1
Redfield & Wilton Strategies,1086,1.8,0.4,Pennsylvania,9,2024-09-19,GRE,Stein,0
Redfield & Wilton Strategies,600,1.8,0.4,Wisconsin,9,2024-09-19,DEM,Harris,47
Redfield & Wilton Strategies,600,1.8,0.4,Wisconsin,9,2024-09-19,REP,Trump,47
Redfield & Wilton Strategies,600,1.8,0.4,Wisconsin,9,2024-09-19,LIB,Oliver,0
Redfield & Wilton Strategies,600,1.8,0.4,Wisconsin,9,2024-09-19,GRE,Stein,0
Redfield & Wilton Strategies,1043,1.8,0.4,Georgia,9,2024-09-19,DEM,Harris,46
Redfield & Wilton Strategies,1043,1.8,0.4,Georgia,9,2024-09-19,REP,Trump,48
Redfield & Wilton Strategies,1043,1.8,0.4,Georgia,9,2024-09-19,LIB,Oliver,1
Redfield & Wilton Strategies,1043,1.8,0.4,Georgia,9,2024-09-19,GRE,Stein,1
Redfield & Wilton Strategies,868,1.8,0.4,North Carolina,9,2024-09-19,DEM,Harris,47
Redfield & Wilton Strategies,868,1.8,0.4,North Carolina,9,2024-09-19,REP,Trump,48
Redfield & Wilton Strategies,868,1.8,0.4,North Carolina,9,2024-09-19,LIB,Oliver,0
Redfield & Wilton Strategies,868,1.8,0.4,North Carolina,9,2024-09-19,GRE,Stein,0
Muhlenberg,450,2.8,-1,Pennsylvania,8,2024-09-19,DEM,Harris,48
Muhlenberg,450,2.8,-1,Pennsylvania,8,2024-09-19,REP,Trump,48
Tarrance,600,1.6,-0.4,Nevada,1,2024-09-19,DEM,Harris,47
Tarrance,600,1.6,-0.4,Nevada,1,2024-09-19,REP,Trump,44
Outward Intelligence,1880,NA,NA,National,4,2024-09-19,DEM,Harris,52.9
Outward Intelligence,1880,NA,NA,National,4,2024-09-19,REP,Trump,47.1
Outward Intelligence,1880,NA,NA,National,4,2024-09-19,DEM,Harris,51.2
Outward Intelligence,1880,NA,NA,National,4,2024-09-19,REP,Trump,44.6
Outward Intelligence,1880,NA,NA,National,4,2024-09-19,IND,Kennedy,2.4
Outward Intelligence,1880,NA,NA,National,4,2024-09-19,GRE,Stein,0.6
Outward Intelligence,1880,NA,NA,National,4,2024-09-19,IND,West,0.6
Outward Intelligence,1880,NA,NA,National,4,2024-09-19,LIB,Oliver,0.7
RMG Research,491,2.3,-0.4,Montana,5,2024-09-19,DEM,Harris,38
RMG Research,491,2.3,-0.4,Montana,5,2024-09-19,REP,Trump,59
University of Massachusetts Lowell/YouGov,650,2.9,-1,Michigan,9,2024-09-19,DEM,Harris,48
University of Massachusetts Lowell/YouGov,650,2.9,-1,Michigan,9,2024-09-19,REP,Trump,43
University of Massachusetts Lowell/YouGov,650,2.9,-1,Michigan,9,2024-09-19,IND,Kennedy,2
University of Massachusetts Lowell/YouGov,650,2.9,-1,Michigan,9,2024-09-19,GRE,Stein,2
University of Massachusetts Lowell/YouGov,650,2.9,-1,Michigan,9,2024-09-19,LIB,Oliver,2
University of Massachusetts Lowell/YouGov,650,2.9,-1,Michigan,9,2024-09-19,CON,Terry,0
University of Massachusetts Lowell/YouGov,650,2.9,-1,Michigan,9,2024-09-19,IND,Ayyadurai,0
University of Massachusetts Lowell/YouGov,650,2.9,-1,Michigan,9,2024-09-19,IND,Kishore,0
University of Massachusetts Lowell/YouGov,800,2.9,-1,Pennsylvania,9,2024-09-19,DEM,Harris,48
University of Massachusetts Lowell/YouGov,800,2.9,-1,Pennsylvania,9,2024-09-19,REP,Trump,46
University of Massachusetts Lowell/YouGov,800,2.9,-1,Pennsylvania,9,2024-09-19,GRE,Stein,1
University of Massachusetts Lowell/YouGov,800,2.9,-1,Pennsylvania,9,2024-09-19,LIB,Oliver,1
University of Delaware,383,NA,NA,Delaware,4,2024-09-19,DEM,Harris,55.6
University of Delaware,383,NA,NA,Delaware,4,2024-09-19,REP,Trump,35.9
University of Delaware,383,NA,NA,Delaware,4,2024-09-19,IND,Kennedy,3.3
University of Delaware,383,NA,NA,Delaware,4,2024-09-19,LIB,Oliver,0.8
Victory Insights,600,1.3,0.1,North Carolina,1,2024-09-18,DEM,Harris,44.9
Victory Insights,600,1.3,0.1,North Carolina,1,2024-09-18,REP,Trump,48.5
TIPP,1046,1.8,-0.4,Georgia,3,2024-09-18,DEM,Harris,47.5
TIPP,1046,1.8,-0.4,Georgia,3,2024-09-18,REP,Trump,45.4
TIPP,835,1.8,-0.4,Georgia,3,2024-09-18,DEM,Harris,47.6
TIPP,835,1.8,-0.4,Georgia,3,2024-09-18,REP,Trump,47.9
TIPP,1046,1.8,-0.4,Georgia,3,2024-09-18,DEM,Harris,46.4
TIPP,1046,1.8,-0.4,Georgia,3,2024-09-18,REP,Trump,44.4
TIPP,1046,1.8,-0.4,Georgia,3,2024-09-18,IND,West,1.5
TIPP,1046,1.8,-0.4,Georgia,3,2024-09-18,GRE,Stein,1.4
TIPP,835,1.8,-0.4,Georgia,3,2024-09-18,DEM,Harris,47.8
TIPP,835,1.8,-0.4,Georgia,3,2024-09-18,REP,Trump,48
